conv_id,turn_id,role,word,speaker_id,duration_min
100,0,seller,Hello Hello,1,8.199
100,1,buyer,Hi how are you,0,8.199
100,2,seller,Good how are you,1,8.199
100,3,buyer,Not bad you're in New Haven,0,8.199
100,4,seller,Um No I'm actually off campus at the,1,8.199
100,5,buyer,moment Mhm Yeah I just thought you did actually,0,8.199
100,6,seller,Oh just Mhm All right,1,8.199
100,7,buyer,Well so you wanna do I need to start us off or do you want to start us,0,8.199
100,8,seller,off I think you should come in with the initial offer,1,8.199
100,9,buyer,"Sure I'll start at 200,500",0,8.199
100,10,seller,"All right I'm gonna have to say no to that Mhm I'm asking for 2 40,000 for the house Um I think that's a fair price Given the given the accommodations it's a four bedroom place with a recreation room 2.5 bathrooms Low level style Um It's one of the one of the nicer homes in the neighborhood I think That to 40,000 is an appropriate amount to be asking for a house like",1,8.199
100,11,buyer,this Yeah I really like the house but I'm just thinking about some of the other houses and um when I visited them I really enjoyed it as well And um even though yours I think is slightly bigger than um and one of them I just can't justify buying your house for for that much So mm me I think I would be willing to go two Well is there is there a price within the 220s that would be good for you,0,8.199
100,12,seller,Um I think that's closer to what I'm looking for,1,8.199
100,13,buyer,Um,0,8.199
100,14,seller,"um So what what is your Why should you only pay to 20,000 for this house",1,8.199
100,15,buyer,Well I'm willing to say it let me just feeling fully transparent I think like um this is a lovely house Um I want to make sure you get the best deal for it When I'm looking at some of the other houses I see that per square foot it's coming about to like um 120 $24 per square foot And so for me you know again like you have a lovely house and I think 129 is the best I can do and I just want to be fully transparent Um I'm not trying to like familiar or anything but 1 29 is what I'm comfortable paying It's around the same price per square foot as the other homes Um And that's probably the highest I can go It is the highest I can go actually,0,8.199
100,16,seller,Yeah I understand Um I do I do see what you're saying um in terms of the price per square foot in um in other homes in the in the neighborhood and I agree that um somewhere around 1 29 is is appropriate Um,1,8.199
100,17,buyer,29 is my final offer I couldn't go any higher than that 2 to 3 to 29 91 29 to 29 Yeah,0,8.199
100,18,seller,I think the the accommodations though I mean the home is newly decorated and has not one but two fireplaces finished hardwood floors I mean it's it's it's great like A detached garage 2.5 car garage I think I understand that you said to 29 is your final offer but I would be willing to go to 2:30 PM,1,8.199
