conv_id,turn_id,role,word,speaker_id,duration_min
690,0,buyer,Hello Are you there,0,13.684
690,1,seller,Yeah,1,13.684
690,2,buyer,Yeah,0,13.684
690,3,seller,I'm here Just give me a second please,1,13.684
690,4,buyer,Okay Yeah,0,13.684
690,5,seller,Yeah I'm good,1,13.684
690,6,buyer,Okay So should we start,0,13.684
690,7,seller,Yeah Sure,1,13.684
690,8,buyer,Okay you can leave yourself on mutism Um Okay so I am interested in buying your house and I see that you listed it for 240 K Um I am going to offer you a price of 2 10 K To start with And because start negotiating for America's Yeah,0,13.684
690,9,seller,Uh huh,1,13.684
690,10,buyer,So I see,0,13.684
690,11,seller,Mhm,1,13.684
690,12,buyer,all the other houses with comparable square footage and I mean the square footage of this house is 1846 And the other house with the closest square footage 1875 has listed for 233 case I don't see why I should Even go for 2 40 k,0,13.684
690,13,seller,Yeah that that's because did you look at the amenities We've got hardwood floors two fireplaces Uh It's newly decorated there's a large kitchen uh and if you look outside you know there's landscaping there's a big garage for 2.5 cars Um There's a lot of cool stuff to do in the area and you're where we live so and 2 40 I think it's a really good deal,1,13.684
690,14,buyer,Yeah,0,13.684
690,15,seller,Um just to let you know this house was originally selling it to 60 but at that time and I did get offers it to 60 but I chose not to sell Uh So 240s only because,1,13.684
690,16,buyer,I mean,0,13.684
690,17,seller,I'm,1,13.684
690,18,buyer,if,0,13.684
690,19,seller,trying,1,13.684
690,20,buyer,you chose,0,13.684
690,21,seller,to,1,13.684
690,22,buyer,not to sell that's that's your decision,0,13.684
690,23,seller,Yeah for sure I mean I didn't want to sell at that time because I got an offer but I was I was living in it but,1,13.684
690,24,buyer,Right,0,13.684
690,25,seller,"now I want to sell so I wanna get rid of it quickly and which is why I'm I have the 20,000 this town but to 60 was a very fair evaluation and I continue to stick to its I think too far He's a great deal",1,13.684
690,26,buyer,Well if you really want to sell it at this point the only offer I'm able to give is I can go as high as 2 20K But that's the highest that I am able to offer you,0,13.684
690,27,seller,Yeah,1,13.684
690,28,buyer,And I understand,0,13.684
690,29,seller,to 20 years Mhm,1,13.684
690,30,buyer,I understand all the amenities But if you I'm looking at other houses as well and for a comparable square footage and they also have similar amenities and for a comparable square footage I mean they're going as high as 2:30K So I don't know if you want to lower to 2:30 K,0,13.684
690,31,seller,No I I definitely know what what's in the other houses I've had a look at them they're all my neighbors I I know that I'm good friends with them Uh And,1,13.684
690,32,buyer,I have also,0,13.684
690,33,seller,definitely,1,13.684
690,34,buyer,reported the house or so,0,13.684
690,35,seller,yeah,1,13.684
690,36,buyer,I,0,13.684
690,37,seller,the amenities are very very different You're right on the square footage but square footage is not the only thing that matters It's what's inside the house Uh What's around the house Uh And minds one of the nicest houses in the neighborhood So I still think too far is a great deal,1,13.684
690,38,buyer,okay I understand they're your neighbors But as a buyer I have also gone and seen these houses and They have for me they have the amenities that I am looking for Um and I am interested in buying your house I mean I appreciate that it's built in 1947 And so it has like good grounds So I am interested in buying the house But I am just trying to negotiate with you so that I can buy it at a comparable price as the other houses listed because I can easily go to them as well,0,13.684
690,39,seller,Well they're not for sale I mean the prices that you see listed is basically the prices but they're not really selling right now are they They're living in these houses My neighbors live in these homes and they're not selling it made and so on So if you want to come to the super nice area in in central uh minds the nicest house in the area and I'm the one that's selling and I'm selling it a very Reasonable price Like I could easily set to 50 or to 60 But I wanna move the house on and and and get on with my life as well So I'm going to 40 to 40 is a great deal for both of us It's win win really,1,13.684
690,40,buyer,I am so sorry but I cannot give you 2 40 I mean like I said earlier if you are if you're really looking to buy the house right now I'm giving you a really good offer I said I will go up to 2 30 That's only 10-K Lower than what you're asking And if you really want to move on with your life this is a really good price and I am not,0,13.684
690,41,seller,No,1,13.684
690,42,buyer,necessary,0,13.684
690,43,seller,I,1,13.684
690,44,buyer,I don't really go ahead,0,13.684
690,45,seller,yeah go ahead Please finish,1,13.684
690,46,buyer,I I'm not looking to like move in immediately But if you are if you're looking to sell this house at this point I think I'm giving you a very good offer,0,13.684
690,47,seller,Yeah It's a it's a it's a good offer for sure But you know uh I have to think and I think I think you'll also notice that my house has been newly decorated So I put a log into the,1,13.684
690,48,buyer,Yeah,0,13.684
690,49,seller,into the renovations I put more than 50 grand into the renovations I did all the hardwood floors the landscaping all that is new the closet So I spent a lot of money as well Uh This stuff is hard to uh do and because it's all new you don't have to like renovated or spend a single dollar more Uh it's the 2 40 then you move right in and it probably lasts for a really long time until you spend any more money on the place So I think that makes a big you've got to think about that part as well maybe you buy like my neighbor's home for 2 30 but then uh the place is pretty run down so you spend another 2030 grand on the phone flooring maybe 10 grand on the closet You don't have to do any of that with me So I think I think I'm giving you a great deal of too far It's it's really really hard for me to move because uh even at 2 40 I I basically get back what I put into the home but I'm okay with that because I want to move anything lower and I lose money on everything I've done so far It's hard for me to make sense,1,13.684
690,50,buyer,Okay I'm just trying to reach a negotiation here with you I cannot afford to go past 230 because I also have my own expenses um that I'm dealing with and um I appreciate all the amenities I am interested in the house Um I just cannot go any higher And I also like moving into this kind of neighborhood I have to think about um schooling for my kids and moving expenses a lot of things that I'm thinking about So I,0,13.684
690,51,seller,for,1,13.684
690,52,buyer,think,0,13.684
690,53,seller,sure But,1,13.684
690,54,buyer,if you can be more,0,13.684
690,55,seller,none,1,13.684
690,56,buyer,flexible with your asking price I don't think it's unreasonable to ask to go for lower than the asking price because usually asking prices are higher than um what what sellers expect to sell the house at,0,13.684
690,57,seller,Yeah I I agree with you So uh to the couple of points you made one is you know schooling and moving expenses I totally understand you have that but you would have that anyway Like even if you bought my neighbor's home like you say you still have the exact same expenses So those aren't really specific to my home What's special about my home is the fact that you don't have any of the other expenses you would have with my neighbors Like I said none of the renovation costs another repainting none of that And I think the most important thing is yes you're right Usually asking prices tend to be higher than the owner,1,13.684
690,58,buyer,Yeah,0,13.684
690,59,seller,actually wants and then they're willing to negotiate down My specific situation in this scenario is that I had a higher asking price is just that I need to move the house on because I have other plans Like I said I'm family I'm moving out of the country uh 240 is basically the house is priced to sell Um at 2:40 And and and it's very hard for me to drop down below that Just because like I said anything below even if I went to 35 I lose money on the whole thing So it's super hard for me to go under,1,13.684
690,60,buyer,Can I ask you do you have any other buyers lined up,0,13.684
690,61,seller,I do Yeah,1,13.684
690,62,buyer,Okay,0,13.684
690,63,seller,Right,1,13.684
690,64,buyer,I,0,13.684
690,65,seller,I,1,13.684
690,66,buyer,mean,0,13.684
690,67,seller,I have I have an offer on the on the home already,1,13.684
690,68,buyer,can I ask how much they're offering for the place,0,13.684
690,69,seller,Uh well usually I wouldn't reveal that but because you know I'm I'm interested in getting a deal done here I have an offer for 2:35,1,13.684
690,70,buyer,You haven't offered her to 35 So,0,13.684
690,71,seller,Mhm,1,13.684
690,72,buyer,if you want I can I can offer you a deal today for 2:30 and you don't have to spend any more time trying to find another buyer,0,13.684
690,73,seller,That offer is immediate as well It's an open offer but I'm trying to push that buyer to go to to 40 as well which is which is where the standoff is coming from I'm waiting on the,1,13.684
690,74,buyer,Mhm,0,13.684
690,75,seller,on the five K So uh You know like I you can understand why I can't do 2:30 when I have an offer for 2:35 But look I like you Uh if you can maybe like match the offer we can talk,1,13.684
690,76,buyer,Mhm,0,13.684
690,77,seller,because you know I I don't like you and I think I think you know this has been a good conversation I think uh at the end of the day I'm I I understand you've come up from your initial office so I need to move a little bit as well Um I tried to go from 2 35 to 40 with the other buyer and with you but if that's not gonna happen if 2 35 is the price I'd be willing to shake hands with you at that price But it has to be that,1,13.684
690,78,buyer,2,0,13.684
690,79,seller,2,1,13.684
690,80,buyer,35,0,13.684
690,81,seller,35,1,13.684
690,82,buyer,is here,0,13.684
