conv_id,turn_id,role,word,speaker_id,duration_min
722,0,buyer,Okay Okay I think I got it,0,5.172
722,1,seller,All right,1,5.172
722,2,buyer,How are you doing today,0,5.172
722,3,seller,I'm good What about you,1,5.172
722,4,buyer,Good good,0,5.172
722,5,seller,Nice,1,5.172
722,6,buyer,All right Um So I'm looking to buy a house in this neighborhood Um However the asking price is just a little out of my range Um,0,5.172
722,7,seller,Mhm,1,5.172
722,8,buyer,"So I'm looking for something more close to around uh 220,000 ish Which I think is a reasonable offer given the houses that are in the area with more and less square feet selling for around the same",0,5.172
722,9,seller,mm No I do understand,1,5.172
722,10,buyer,Yeah,0,5.172
722,11,seller,it I just wanted to let you know that we've just renovated the house So that's also something that um I'm really thinking about especially because they spend so much time working on that and then I have to let my house go So this is something that we're also keeping in mind So that's why we're looking for a price is a little above that,1,5.172
722,12,buyer,Um Okay Do you have a range that you would be comfortable going down to and still being able to make a profit off of,0,5.172
722,13,seller,Yes so the price we were originally looking for was to 50 right now we thank 40-35 is something that we could think about How does that sound to you,1,5.172
722,14,buyer,Um I think to 40 is just a little much considering especially some of the other I know I understand that it's renovated but as far as like the overall size of it Um like some,0,5.172
722,15,seller,Mhm,1,5.172
722,16,buyer,of the other houses nearby have um almost 100 more square feet and are selling for 2 40 So I do feel like something closer to 2 30 would be more appropriate,0,5.172
722,17,seller,mm Have you looked at other houses in the area,1,5.172
722,18,buyer,Yes Yes I have,0,5.172
722,19,seller,Mhm So what's the difference between this one and the other ones you looked for So why are you giving an offer to this one What what is it about this house that um caught your attention just so,1,5.172
722,20,buyer,Um,0,5.172
722,21,seller,that I have an idea of what makes it special for you,1,5.172
722,22,buyer,um Yeah so I really I really like how it's close to parks and there's a lot of things within um within walking distance and I like you know the amenities like the I like the fence and backyard and all the trees around it Um And you know I really I really do like this house I just I think 2:40 is just a little out of,0,5.172
722,23,seller,mm,1,5.172
722,24,buyer,my price range and especially given houses that are similar around it Um,0,5.172
722,25,seller,Mhm,1,5.172
722,26,buyer,Like I I think like around 2:30 would be more of a better offer,0,5.172
722,27,seller,Yes no I do understand that Just something else to keep in mind and that's something that actually mainly choose this house a few years ago is the fact that as you mentioned most things are within walking distance from the house and considering it's a big house I suppose it's for your family So it's good if you have kids it's really close to the schools it's close to the supermarket to the parks in the area And also this is a neighborhood that attracts people because of before of its green spaces so um different than some of the other houses I think the walking distance for it is also something that is really interesting and if you're thinking about uh money so I think it's also important to think about gas prices and how you're not going to spend a lot with that and how the kids are going to have much more freedom to walk around and go from the house not only to school but to other places by themselves to uh so this is why we're looking for a price a little higher Do you think Um we could maybe meet halfway How do you feel about um Uh 2 35,1,5.172
722,28,buyer,um I like I like to 35 but I do think you know this one is A little bit smaller than a house that recently sold in the area for 2:33 Um And you know that was,0,5.172
722,29,seller,Yeah,1,5.172
722,30,buyer,Very very similar styles of houses Um just the one that was 233 was a little bigger so You know I would like to go closer to maybe 2:32 Uh if possible,0,5.172
722,31,seller,Okay No I completely understand it How do you feel about 2:32.5 then,1,5.172
722,32,buyer,Um,0,5.172
722,33,seller,Because as you said this one is a little smaller but also we have access to some other humanities and we have the walking distance factor and the fact that it has based uh 42.5 cars which is also great in this neighborhood,1,5.172
722,34,buyer,um Okay yeah I I do like the area and I think uh I think to 32.5,0,5.172
722,35,seller,Mm,1,5.172
722,36,buyer,fits right in my price range,0,5.172
722,37,seller,Yeah,1,5.172
722,38,buyer,so I will buy it for that,0,5.172
724,0,seller,Hi Can you hear me,1,13.122
724,1,buyer,Yes can you hear me,0,13.122
724,2,seller,Yes I can How are you,1,13.122
724,3,buyer,I'm good how are you,0,13.122
724,4,seller,Good My name is [PERSON] by the way,1,13.122
724,5,buyer,I'm sure he's nice to meet you,0,13.122
724,6,seller,Yeah You too,1,13.122
724,7,buyer,So,0,13.122
