conv_id,turn_id,role,word,speaker_id,duration_min
556,0,buyer,Okay Okay I'm recording as well Okay,0,2.199
556,1,seller,Oh,1,2.199
556,2,buyer,Um I I'm interested in this house,0,2.199
556,3,seller,yeah Good to hear,1,2.199
556,4,buyer,"Um Yeah What I yeah I think I would be willing to offer um 20 220,000 for the home",0,2.199
556,5,seller,"Um so I'm looking To sell like as you can see like my asking price is 240,000",1,2.199
556,6,buyer,right,0,2.199
556,7,seller,"Um and that is larger than like the selling prices of similar houses with like similar square footage But um those were sold several months ago So I don't think those prices are like completely and um completely accurate So I was like thinking maybe I'd be willing to sell 235,000 Are you willing to go up a little bit more",1,2.199
556,8,buyer,Um,0,2.199
556,9,seller,but you can be in the middle,1,2.199
556,10,buyer,Yeah maybe we can meet in the middle I think I think even if the I think even if the homes are sold like a few months ago the housing market hasn't changed that much um in the houses of R R S Similar square footage And I think yeah I would be Willing to pay 200 30 1000 for the home,0,2.199
556,11,seller,Would you be willing to be like 230 2000,1,2.199
556,12,buyer,Um No,0,2.199
556,13,seller,So 230 and your max,1,2.199
556,14,buyer,Yes Yeah,0,2.199
556,15,seller,Okay That works for me,1,2.199
557,0,buyer,"um Okay So I guess I'll start since I'm the buyer after looking at the prices of the neighboring homes I just don't think that I'm willing to purchase for the asking price So Just like 220,000 sound Okay Since that's kind of between the two homes that are in but have the most similar square footage",0,1.317
557,1,seller,mm,1,1.317
557,2,buyer,Okay,0,1.317
557,3,seller,"I think I think I don't like to ask for a little bit more Does 230,000 Uh sound all right",1,1.317
557,4,buyer,Um,0,1.317
557,5,seller,You have to keep in mind that though these houses are in the same neighborhood and have similar characteristics um you're really getting more value with this housing,1,1.317
557,6,buyer,Yeah Mhm,0,1.317
557,7,seller,Listen this is my house I'm not uh,1,1.317
557,8,buyer,Yeah,0,1.317
557,9,seller,mm last,1,1.317
557,10,buyer,"I think I think I can do 230,000",0,1.317
570,0,seller,when did that happen with you or,1,5.888
570,1,buyer,um so I I just hit record just to make sure it was working and it looks like it is Um,0,5.888
570,2,seller,Okay,1,5.888
570,3,buyer,I'll hit pause,0,5.888
570,4,seller,uh,1,5.888
570,5,buyer,for a second but Okay yeah I just started my recording as well,0,5.888
570,6,seller,yep it's in here,1,5.888
570,7,buyer,Okay so I guess I am the buyer So I will,0,5.888
570,8,seller,Yeah,1,5.888
570,9,buyer,start off Um,0,5.888
570,10,seller,Okay,1,5.888
570,11,buyer,Yeah so you know listen really like the house Um It kind of checks all the boxes for me I'll be kind of pretty straightforward here You know I really like to take an analytical approach to buying houses So you know I know if we both have those uh those camps um for those three of the houses which as far as I can tell her about pretty pretty comparable Um you know obviously square footage wise you know one below one above the condition of the house on and so forth You know those three other houses each have sold At a price of $124 per square foot Um,0,5.888
570,12,seller,Okay,1,5.888
570,13,buyer,you know so so looking at looking at your house you know I'd be really comfortable You know you take it just straight up on price per square foot it comes out just about um you know to 29 um you know even for uh you know what the house is worth for for price per square foot So you could be uh I'd be really comfortable and you know making an offer at that point Uh You know I know listen I I appreciate right you're not You're you're not using a real estate agent right So you're saving yourself the five or 6 I guess depending on what markets you're in the um you know saving that five for you helps you it helps me right I can Save a little bit of money You can certainly save some money on your end but not having to pay that real safety So I'd like to stick to uh to that to 29 offer,0,5.888
570,14,seller,Yeah I mean we said sounds uh sounds pretty reasonable but uh you know the reason why I placed my house uh for square footage a little bit higher I think it was around around I think $130 per square footage like that if I'm not mistaken Yeah Under 30 Uh Because I think my house is a little bit better than these other houses You know we just finished nearly decorating it Um And so you know it's kind of like I need to cover,1,5.888
570,15,buyer,Yeah,0,5.888
570,16,seller,that cost as well But also,1,5.888
570,17,buyer,Oh,0,5.888
570,18,seller,you know we got,1,5.888
570,19,buyer,oh,0,5.888
570,20,seller,"lots of we got a rec room and it's pretty cool we can like boss sports or play video games and the uh we got the cash garage for 2.5 cars Ah You know it's near Hastings and centennial Park You know you want to these other houses weren't as close I guess I'm not sure but you know firehouses really closely and if you want that fresh air it's pretty easy to go outside And so I'm not going to ask for a super super high price of course but I'm wondering if you can do a little bit higher than what you gave me into Around like More than 35,000 there's some reasonable",1,5.888
