global_row_id,dataset_name,source_file,conversation_id,turn_index,speaker_id,role,start_time,end_time,duration_min,text,outcome,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
dealerships_nego__0,dealerships_nego,dealerships-nego.csv,2026_1,0,1,seller,0.0,2.59999847,,"Hello, this is Eric from Epidus.  How can I help you?",no sale,0.289182693,0.0029554364000000002,0.00319647565,0.0080134127,0.0495490075,0.11937308980000001,0.0364166415,0.5325246,0.011612599500000001,0.0023403748,0.0041848325,0.00105330365,0.000771911475,0.048505704,0.0025088708,0.005170951,0.001096341715,0.0097611618,0.008470478850000001,0.00269531225,0.014158899499999999,0.000729371495,0.004480907,0.0014317519499999999,0.0042482909,0.0054676662000000004,0.0098613849
dealerships_nego__1,dealerships_nego,dealerships-nego.csv,2026_1,1,0,buyer,2.59999847,11.80000305,,"Hey, are you in sales?  Yeah, I'm in sales, sir.  Awesome.  I want to see if you guys  have a vehicle available.  Yeah. Which car is it?  I have a stock number  whenever you're ready.",no sale,0.19452771576666664,0.002354287866666667,0.0024917596333333333,0.0065089028,0.16675743833333334,0.0824438452,0.0246805215,0.3555179158,0.008503347566666666,0.0017819201333333333,0.0036003599333333334,0.0008843497833333334,0.0005820240333333334,0.03482288856666666,0.0018477951766666667,0.004336501933333333,0.0008038157933333333,0.009165998033333332,0.006592528233333333,0.00190878104,0.013144679666666666,0.0007725535633333333,0.004814824233333333,0.0016450669666666666,0.00292368484,0.003871153066666667,0.006731576940000001
dealerships_nego__2,dealerships_nego,dealerships-nego.csv,2026_1,2,1,seller,11.80000305,12.84000397,,"I'm ready, sir.",no sale,0.1949063605,0.002615460066666667,0.0012856770666666668,0.0036314056999999997,0.26824334666666666,0.0057539368000000006,0.013290070333333334,0.2515765130666667,0.0042945954,0.0012565289333333334,0.0033206623666666665,0.0008258780833333333,0.0004000619433333333,0.03468939346666667,0.0009283026766666666,0.003654309466666667,0.00040905403999999995,0.009479515933333333,0.005849596966666666,0.0006854483533333334,0.009308175666666666,0.00084730971,0.0153298641,0.0015673699333333332,0.0004200301466666667,0.0012352670999999998,0.00633438079
dealerships_nego__3,dealerships_nego,dealerships-nego.csv,2026_1,3,0,buyer,12.84000397,19.63999941,,"OK, it's S as in Sam, S as in Sienna,  06, C as in Cyprus, 426.",no sale,0.003074291733333333,0.0013151174666666667,0.0013480269,0.005552401566666666,0.24298679833333328,0.0035221143,0.08087073033333333,0.12379285973333333,0.0012671255666666667,0.0011109237666666666,0.002844184233333333,0.0008892104833333334,0.0003849121366666667,0.0035183333333333334,0.0007113625766666667,0.0014620818666666662,0.00021434038333333332,0.0036082401766666665,0.0017229568666666667,0.00035827443,0.0058186146,0.00044174341333333336,0.0153920091,0.0010761365266666668,0.00025562257999999996,0.0007655730333333334,0.0025582466233333334
dealerships_nego__4,dealerships_nego,dealerships-nego.csv,2026_1,4,1,seller,19.76000211,21.00000001,,You said 426?,no sale,0.0021128432999999998,0.0013829062333333333,0.0012611548666666666,0.0057634139,0.14610473300000001,0.0008502086666666666,0.08282620306666667,0.12394357116666667,0.0006841934833333334,0.0013675325333333333,0.0030520854666666666,0.0010953888666666667,0.00043593350000000006,0.0014059979,0.0007771100333333333,0.0007701390866666664,0.00019668432666666665,0.0012703319633333332,0.0011785736666666666,0.00032934211000000004,0.0029697567333333333,0.0002268719,0.021551652533333337,0.0005008886366666667,0.00023006093,0.0008073010666666665,0.002669356083333333
dealerships_nego__5,dealerships_nego,dealerships-nego.csv,2026_1,5,0,buyer,21.00000001,25.36000061,,"Yeah.  S as 06, E 426.  C as in Cyprus, yeah.",no sale,0.0019127139,0.0012859673333333334,0.0015335391333333333,0.007120987,0.047251640000000004,0.0011312019666666667,0.16535390323333332,0.3185363072333333,0.00134143805,0.0025264116,0.005187028033333333,0.0011366215333333334,0.0006759724900000002,0.0031445401333333334,0.0010866431333333333,0.000550577943333333,0.0002560883366666666,0.00106324913,0.0015798458333333334,0.0006116758299999999,0.0025566281666666666,0.00012262887,0.0131217752,0.00028345048666666663,0.00036237067,0.0012401391333333334,0.006189543633333333
dealerships_nego__6,dealerships_nego,dealerships-nego.csv,2026_1,6,1,seller,25.36000061,30.12000271,,"OK, let me see.  Hmm, I don't see it.  Like, what kind of car is it?",no sale,0.003576671,0.0015139948000000003,0.001358787,0.005567107666666667,0.05040318866666666,0.0010388977,0.0875232533,0.1963477651333333,0.0013540172333333332,0.0029146081,0.004957116633333334,0.0014141455,0.0007099017466666667,0.0039031050000000005,0.0013524089000000001,0.0007406232433333331,0.00031433335666666666,0.0017599298866666664,0.0016215043666666666,0.0006397879366666666,0.0023871795666666664,0.00028650193333333335,0.013479076466666665,0.0003825518933333333,0.0003824674566666667,0.001561716166666667,0.0045146887333333335
dealerships_nego__7,dealerships_nego,dealerships-nego.csv,2026_1,7,0,buyer,30.12000271,32.00000001,,The Toyota Sienna Cyprus.,no sale,0.0047182724333333335,0.0017936903333333335,0.0017053251333333335,0.005679213433333333,0.020202965666666666,0.0011546084533333334,0.08585316523333335,0.19615814236666665,0.0015944746166666668,0.0032834667333333334,0.004711286366666667,0.0017206146666666668,0.0008242365133333333,0.0051554656999999995,0.0016944318333333333,0.0009399849899999997,0.0004112302466666667,0.002537570933333333,0.0018396377666666667,0.0006835761833333333,0.002169581833333333,0.00042436478000000007,0.007810572466666666,0.0004240987833333333,0.0004409276233333334,0.001892884,0.0046750831000000005
dealerships_nego__8,dealerships_nego,dealerships-nego.csv,2026_1,8,1,seller,32.00000001,35.95999911,,Toyota Sienna.  Sienna. Platinum.,no sale,0.004988404433333334,0.0018895464666666667,0.0015636131333333332,0.0044813391,0.022929903666666668,0.0007865876733333333,0.0031967110999999997,0.0014457619333333334,0.0009428972300000001,0.0026027575333333335,0.002996169033333333,0.0018029765333333334,0.0006222691466666667,0.0032769957,0.0014434367,0.0011094870999999997,0.0003794156066666667,0.0024610848,0.0013736161666666666,0.0003522416033333333,0.0020781868,0.00049207419,0.009449514133333333,0.00042373580999999997,0.00034458114,0.0016488377666666668,0.001143994666666666
dealerships_nego__9,dealerships_nego,dealerships-nego.csv,2026_1,9,0,buyer,36.36000061,43.68000081,,In the cypress color C is also is in Charlie or cat or color or cable,no sale,0.005018746433333333,0.0015424887133333332,0.0012668989000000001,0.004389047433333333,0.13579605333333333,0.0013081229733333333,0.020928099366666664,0.06400151403333333,0.0021084179466666665,0.002315869366666667,0.005307748233333333,0.0013474616333333334,0.0005001182633333334,0.006971068966666666,0.0011499863666666668,0.0009174572566666663,0.00032221365,0.002380954466666667,0.0014850345,0.0004169450066666667,0.009038338133333332,0.00041494298999999996,0.015067120999999998,0.0005922081666666667,0.0003203104866666667,0.001301045166666667,0.003143902566666666
dealerships_nego__10,dealerships_nego,dealerships-nego.csv,2026_1,10,1,seller,43.68000081,70.97999911,,"Okay, I see it's a Sienna platinum in the cypress you nailed it. Yep. Is that available?  So the car is not here yet  It is being allocated right now and it will be available  By the first week of like March. Okay  And this is the cypress color one, yeah, there's a green one. Yes. Okay, cool. It's not reserved or anything  Let me double-check real quick",no sale,0.0033787336,0.0011423501133333333,0.0009397112666666667,0.007971379666666667,0.13511299033333332,0.0014733572533333333,0.0245835282,0.0643943108,0.002799812046666667,0.046991271700000004,0.012925359666666669,0.0011096056666666666,0.00088356345,0.005595146366666665,0.0010790637,0.0008016653366666663,0.00047410075000000007,0.0016342208999999997,0.0012115429333333335,0.0008412584400000001,0.016032857733333333,0.00029688258,0.02954287866666667,0.0008735351666666666,0.0009978094966666667,0.0063175257,0.003266316333333333
dealerships_nego__12,dealerships_nego,dealerships-nego.csv,2026_1,12,1,seller,71.63999901,87.58000141,,So I see that is it is reserved but there's always a chance that the reservation get canceled because it's only $100  None to buy non-refundable deposits of people sometimes don't show up. So they have like 24 hours to you know  Come in and get the car.,no sale,0.004171051833333334,0.0011604356133333334,0.004206818133333333,0.046868412666666665,0.15347074666666669,0.002329629466666667,0.024522562,0.06428131503333333,0.003359973133333334,0.10758603230000001,0.23652937500000001,0.002141766066666667,0.002022993316666667,0.006434805333333332,0.0010681130433333335,0.0011389611699999995,0.0006688185666666666,0.0034242702666666667,0.0024747349666666666,0.0012422316533333333,0.0167110161,0.0006431589900000001,0.033111555,0.002043899656666667,0.0014788845333333332,0.010168255833333334,0.0038057062666666665
dealerships_nego__13,dealerships_nego,dealerships-nego.csv,2026_1,13,0,buyer,88.33999971,98.38000451,,"Okay, but I'm not a I'm not a gambling guy, you know, I'm type person, you know, I always lose when I go to the casino  So I don't like the chance  That a car I got it. I got yeah",no sale,0.0036104706,0.0014236002666666667,0.004213231633333333,0.04689445279999999,0.23770622666666666,0.017050481066666668,0.019253138666666666,0.025491688366666668,0.004191255533333334,0.10758723870000002,0.2354973682,0.00209822812,0.0020209480000000003,0.004954129333333332,0.0016414530433333334,0.0013293233799999997,0.0007531056633333333,0.005698966933333334,0.0029610266,0.0019624226333333334,0.0431291181,0.0007728211433333333,0.03577248833333333,0.0032924185,0.0016037621333333332,0.010348323566666668,0.0021172778666666663
dealerships_nego__14,dealerships_nego,dealerships-nego.csv,2026_1,14,1,seller,98.38000451,109.3000026,,"So what I can do is, you know, I can call you when the car is here  It's and also it's like two months away, right? So yeah, it's better to just call you when the car is here. Oh, no worries",no sale,0.0074241766666666665,0.0021178117999999997,0.0050588943,0.0446989388,0.24893267933333332,0.024699753,0.0164819372,0.0261899567,0.0279782849,0.06298208613333334,0.2290573953,0.0021684302533333337,0.0016236711199999999,0.007563076433333332,0.0016240211100000002,0.30079836173333335,0.0007865735466666667,0.008585333833333335,0.004031032966666667,0.0016602472,0.2833411741,0.0016881319866666666,0.021332683500000005,0.004243407,0.0021687744333333332,0.005337502233333335,0.0025167802
dealerships_nego__15,dealerships_nego,dealerships-nego.csv,2026_1,15,0,buyer,109.3000026,120.6600032,,"I'll  Yeah, I mean that's so if I'm gonna keep calling around I'm hoping to find one and put a deposit on one  So I'm gonna keep calling around and hopefully I will find one cross my fingers. Definitely. Yeah. Thank you, sir",no sale,0.010522480266666667,0.0028342905,0.002718071633333333,0.0066622057,0.23562112300000002,0.05142597000000001,0.015652006133333334,0.026991134,0.04887544246666667,0.002869355666666667,0.006582175533333334,0.0010688121866666666,0.0005040961366666667,0.007759488499999998,0.0017869062666666668,0.30451871826666665,0.0007464567899999999,0.008289906833333334,0.004861247733333333,0.001408891666666667,0.5941271366666666,0.0018894362199999998,0.015008463166666668,0.003414598166666666,0.0030340180333333334,0.0017052651666666677,0.0022972222333333334
dealerships_nego__16,dealerships_nego,dealerships-nego.csv,2026_1,16,1,seller,120.6600032,122.6600032,,"Hey, no problem. I hope you find one too",no sale,0.013340946749999999,0.00338711875,0.003621535,0.007694856349999999,0.0485690345,0.053903185000000006,0.003672946699999999,0.004105006000000001,0.069897225,0.0034342304500000003,0.006782742000000001,0.001379364,0.0005964897550000001,0.006470004749999998,0.0014724770000000002,0.456191048,0.0008801448149999999,0.007780168250000001,0.0057829465,0.0007398309000000002,0.8403053,0.00247839935,0.006711281750000003,0.0027809003999999995,0.0042331654,0.0019476294000000016,0.0023102656999999995
